run_id,radio_mobile_link_name,site_a,site_b,frequency_mhz,height_tx_m,height_rx_m,gain_tx_dbi,gain_rx_dbi,tx_power_w,tx_power_dbm,line_loss_tx_db,line_loss_rx_db,distance_km,free_space_loss_db,obstruction_loss_db,forest_loss_db,urban_loss_db,statistical_loss_db,clutter_loss_db,total_path_loss_db,received_signal_dbm,receiver_sensitivity_dbm,fade_margin_db,required_reliability_percent,feasible_fm20,feasible_fm30,notes,height,gain,freq,distance,tx_loss,rx_loss,rx_signal_rm,rx_sens,fade_rm,fspl_rm,total_loss_rm,terrain_stat_loss,fspl_model,rx_fspl_only,rx_avg_corr,rx_height_corr,fade_fspl_only,fade_avg_corr,fade_height_corr
RP_5825_H15_G12,RP 5825MHz H15 G12,Nyarugenge campus Q3,Remera campus Q3,5825.000,15,15,12.00,12.00,0.1,20.0,1.00,1.00,7.159,124.80,1.71,0.00,0.00,6.55,,133.06,-91.06,-113.02,21.96,70.000,True,False,,15.0,12.0,5825.0,7.159,1.0,1.0,-91.06,-113.02,21.96,124.8,133.06,8.260000000000005,124.8429658423178,-82.8429658423178,-91.22296584231779,-91.10296584231781,30.1770341576822,21.797034157682205,21.91703415768218
RP_5825_H15_G16,RP 5825MHz H15 G16,Nyarugenge campus Q3,Remera campus Q3,5825.000,15,15,16.00,16.00,0.1,20.0,1.00,1.00,7.159,124.80,1.71,0.00,0.00,6.55,,133.06,-83.06,-113.02,29.96,70.000,True,False,,15.0,16.0,5825.0,7.159,1.0,1.0,-83.06,-113.02,29.96,124.8,133.06,8.260000000000005,124.8429658423178,-74.8429658423178,-83.22296584231779,-83.10296584231781,38.1770341576822,29.797034157682205,29.91703415768218
RP_5825_H15_G19,RP 5825MHz H15 G19,Nyarugenge campus Q3,Remera campus Q3,5825.000,15,15,19.00,19.00,0.1,20.0,1.00,1.00,7.159,124.80,1.71,0.00,0.00,6.55,,133.06,-77.06,-113.02,35.96,70.000,True,True,,15.0,19.0,5825.0,7.159,1.0,1.0,-77.06,-113.02,35.96,124.8,133.06,8.260000000000005,124.8429658423178,-68.8429658423178,-77.22296584231779,-77.10296584231781,44.1770341576822,35.797034157682205,35.91703415768218
RP_5825_H15_G24,RP 5825MHz H15 G24,Nyarugenge campus Q3,Remera campus Q3,5825.000,15,15,24.00,24.00,0.1,20.0,1.00,1.00,7.159,124.80,1.71,0.00,0.00,6.55,,133.06,-67.06,-113.02,45.96,70.000,True,True,,15.0,24.0,5825.0,7.159,1.0,1.0,-67.06,-113.02,45.96,124.8,133.06,8.260000000000005,124.8429658423178,-58.842965842317795,-67.22296584231779,-67.10296584231781,54.1770341576822,45.797034157682205,45.91703415768218
RP_5825_H20_G10,RP 5825MHz H20 G10,Nyarugenge campus Q3,Remera campus Q3,5825.000,20,20,10.00,10.00,0.1,20.0,1.00,1.00,7.159,124.80,19.43,0.00,0.00,6.55,,150.79,-112.79,-113.02,0.23,70.000,False,False,,20.0,10.0,5825.0,7.159,1.0,1.0,-112.79,-113.02,0.23,124.8,150.79,25.989999999999995,124.8429658423178,-86.8429658423178,-95.22296584231779,-112.8329658423178,26.1770341576822,17.797034157682205,0.18703415768219145
RP_5825_H20_G12,RP 5825MHz H20 G12,Nyarugenge campus Q3,Remera campus Q3,5825.000,20,20,12.00,12.00,0.1,20.0,1.00,1.00,7.159,124.80,19.43,0.00,0.00,6.55,,150.79,-108.79,-113.02,4.23,70.000,False,False,,20.0,12.0,5825.0,7.159,1.0,1.0,-108.79,-113.02,4.23,124.8,150.79,25.989999999999995,124.8429658423178,-82.8429658423178,-91.22296584231779,-108.8329658423178,30.1770341576822,21.797034157682205,4.1870341576821914
RP_5825_H20_G16,RP 5825MHz H20 G16,Nyarugenge campus Q3,Remera campus Q3,5825.000,20,20,16.00,16.00,0.1,20.0,1.00,1.00,7.159,124.80,19.43,0.00,0.00,6.55,,150.79,-100.79,-113.02,12.23,70.000,False,False,,20.0,16.0,5825.0,7.159,1.0,1.0,-100.79,-113.02,12.23,124.8,150.79,25.989999999999995,124.8429658423178,-74.8429658423178,-83.22296584231779,-100.8329658423178,38.1770341576822,29.797034157682205,12.187034157682191
RP_5825_H20_G19,RP 5825MHz H20 G19,Nyarugenge campus Q3,Remera campus Q3,5825.000,20,20,19.00,19.00,0.1,20.0,1.00,1.00,7.159,124.80,19.43,0.00,0.00,6.55,,150.79,-94.79,-113.02,18.23,70.000,False,False,,20.0,19.0,5825.0,7.159,1.0,1.0,-94.79,-113.02,18.23,124.8,150.79,25.989999999999995,124.8429658423178,-68.8429658423178,-77.22296584231779,-94.8329658423178,44.1770341576822,35.797034157682205,18.18703415768219
RP_5825_H20_G24,RP 5825MHz H20 G24,Nyarugenge campus Q3,Remera campus Q3,5825.000,20,20,24.00,24.00,0.1,20.0,1.00,1.00,7.159,124.80,19.43,0.00,0.00,6.55,,150.79,-84.79,-113.02,28.23,70.000,True,False,,20.0,24.0,5825.0,7.159,1.0,1.0,-84.79,-113.02,28.23,124.8,150.79,25.989999999999995,124.8429658423178,-58.842965842317795,-67.22296584231779,-84.8329658423178,54.1770341576822,45.797034157682205,28.18703415768219
RP_5825_H25_G10,RP 5825MHz H25 G10,Nyarugenge campus Q3,Remera campus Q3,5825.000,25,25,10.00,10.00,0.1,20.0,1.00,1.00,7.159,124.80,3.89,0.00,0.00,6.56,,135.25,-97.25,-113.02,15.77,70.000,False,False,,25.0,10.0,5825.0,7.159,1.0,1.0,-97.25,-113.02,15.77,124.8,135.25,10.450000000000003,124.8429658423178,-86.8429658423178,-95.22296584231779,-97.29296584231781,26.1770341576822,17.797034157682205,15.727034157682183
RP_5825_H25_G12,RP 5825MHz H25 G12,Nyarugenge campus Q3,Remera campus Q3,5825.000,25,25,12.00,12.00,0.1,20.0,1.00,1.00,7.159,124.80,3.89,0.00,0.00,6.56,,135.25,-93.25,-113.02,19.77,70.000,False,False,,25.0,12.0,5825.0,7.159,1.0,1.0,-93.25,-113.02,19.77,124.8,135.25,10.450000000000003,124.8429658423178,-82.8429658423178,-91.22296584231779,-93.29296584231781,30.1770341576822,21.797034157682205,19.727034157682183
RP_5825_H25_G16,RP 5825MHz H25 G16,Nyarugenge campus Q3,Remera campus Q3,5825.000,25,25,16.00,16.00,0.1,20.0,1.00,1.00,7.159,124.80,3.89,0.00,0.00,6.56,,135.25,-85.25,-113.02,27.77,70.000,True,False,,25.0,16.0,5825.0,7.159,1.0,1.0,-85.25,-113.02,27.77,124.8,135.25,10.450000000000003,124.8429658423178,-74.8429658423178,-83.22296584231779,-85.29296584231781,38.1770341576822,29.797034157682205,27.727034157682183
RP_5825_H25_G19,RP 5825MHz H25 G19,Nyarugenge campus Q3,Remera campus Q3,5825.000,25,25,19.00,19.00,0.1,20.0,1.00,1.00,7.159,124.80,3.89,0.00,0.00,6.56,,135.25,-79.25,-113.02,33.77,70.000,True,True,,25.0,19.0,5825.0,7.159,1.0,1.0,-79.25,-113.02,33.77,124.8,135.25,10.450000000000003,124.8429658423178,-68.8429658423178,-77.22296584231779,-79.29296584231781,44.1770341576822,35.797034157682205,33.72703415768218
RP_5825_H25_G24,RP 5825MHz H25 G24,Nyarugenge campus Q3,Remera campus Q3,5825.000,25,25,24.00,24.00,0.1,20.0,1.00,1.00,7.159,124.80,3.89,0.00,0.00,6.56,,135.25,-69.25,-113.02,43.77,70.000,True,True,,25.0,24.0,5825.0,7.159,1.0,1.0,-69.25,-113.02,43.77,124.8,135.25,10.450000000000003,124.8429658423178,-58.842965842317795,-67.22296584231779,-69.29296584231781,54.1770341576822,45.797034157682205,43.72703415768218
RP_5825_H30_G10,RP 5825MHz H30 G10,Nyarugenge campus Q3,Remera campus Q3,5825.000,30,30,10.00,10.00,0.1,20.0,1.00,1.00,7.159,124.80,-6.02,0.00,0.00,6.56,,125.34,-87.34,-113.02,25.68,70.000,True,False,,30.0,10.0,5825.0,7.159,1.0,1.0,-87.34,-113.02,25.68,124.8,125.34,0.5400000000000063,124.8429658423178,-86.8429658423178,-95.22296584231779,-87.3829658423178,26.1770341576822,17.797034157682205,25.637034157682194
RP_5825_H30_G12,RP 5825MHz H30 G12,Nyarugenge campus Q3,Remera campus Q3,5825.000,30,30,12.00,12.00,0.1,20.0,1.00,1.00,7.159,124.80,-6.02,0.00,0.00,6.56,,125.34,-83.34,-113.02,29.68,70.000,True,False,,30.0,12.0,5825.0,7.159,1.0,1.0,-83.34,-113.02,29.68,124.8,125.34,0.5400000000000063,124.8429658423178,-82.8429658423178,-91.22296584231779,-83.3829658423178,30.1770341576822,21.797034157682205,29.637034157682194
RP_5825_H30_G16,RP 5825MHz H30 G16,Nyarugenge campus Q3,Remera campus Q3,5825.000,30,30,16.00,16.00,0.1,20.0,1.00,1.00,7.159,124.80,-6.02,0.00,0.00,6.56,,125.34,-75.34,-113.02,37.68,70.000,True,True,,30.0,16.0,5825.0,7.159,1.0,1.0,-75.34,-113.02,37.68,124.8,125.34,0.5400000000000063,124.8429658423178,-74.8429658423178,-83.22296584231779,-75.3829658423178,38.1770341576822,29.797034157682205,37.637034157682194
RP_5825_H30_G19,RP 5825MHz H30 G19,Nyarugenge campus Q3,Remera campus Q3,5825.000,30,30,19.00,19.00,0.1,20.0,1.00,1.00,7.159,124.80,-6.02,0.00,0.00,6.56,,125.34,-69.34,-113.02,43.68,70.000,True,True,,30.0,19.0,5825.0,7.159,1.0,1.0,-69.34,-113.02,43.68,124.8,125.34,0.5400000000000063,124.8429658423178,-68.8429658423178,-77.22296584231779,-69.3829658423178,44.1770341576822,35.797034157682205,43.637034157682194
RP_5825_H30_G24,RP 5825MHz H30 G24,Nyarugenge campus Q3,Remera campus Q3,5825.000,30,30,24.00,24.00,0.1,20.0,1.00,1.00,7.159,124.80,-6.02,0.00,0.00,6.56,,125.34,-59.34,-113.02,53.68,70.000,True,True,,30.0,24.0,5825.0,7.159,1.0,1.0,-59.34,-113.02,53.68,124.8,125.34,0.5400000000000063,124.8429658423178,-58.842965842317795,-67.22296584231779,-59.3829658423178,54.1770341576822,45.797034157682205,53.637034157682194
